IO, 06, 2005120500, 01, CARQ, -24,  77N,  939E,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
IO, 06, 2005120500, 01, CARQ, -18,  85N,  933E,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
IO, 06, 2005120500, 01, CARQ, -12,  89N,  925E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   B,   0,   X, 297,   8, 
IO, 06, 2005120500, 01, CARQ,  -6,  92N,  919E,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
IO, 06, 2005120500, 01, CARQ,   0,  97N,  914E,  20, 1004, DB,  34, NEQ,    0,    0,    0,    0, 1008,  210,  25,   0,   0,   B,   0,   X, 305,   7,     INVEST, S, 
IO, 06, 2005120500, 01, CARQ,   0,  97N,  914E,  20, 1004, DB,  50, NEQ,    0,    0,    0,    0, 1008,  210,  25,   0,   0,   B,   0,   X, 305,   7,     INVEST, S, 
IO, 06, 2005120500, 01, CARQ,   0,  97N,  914E,  20, 1004, DB,  64, NEQ,    0,    0,    0,    0, 1008,  210,  25,   0,   0,   B,   0,   X, 305,   7,     INVEST, S, 
IO, 06, 2005120500, 03, CLIM,  12, 102N,  905E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 06, 2005120500, 03, CLIM,  24, 110N,  894E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 06, 2005120500, 03, CLIM,  36, 118N,  882E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 06, 2005120500, 03, CLIM,  48, 124N,  872E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 06, 2005120500, 03, CLIM,  72, 129N,  852E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 06, 2005120500, 03, CLIP,  12, 104N,  904E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 06, 2005120500, 03, CLIP,  24, 111N,  894E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 06, 2005120500, 03, CLIP,  36, 118N,  886E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
