WP, 96, 2013071900, 03, HWRF, 000,  52N, 1296E,  16, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  58
WP, 96, 2013071900, 03, HWRF, 006,  58N, 1295E,  19, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  49
WP, 96, 2013071900, 03, HWRF, 012,  65N, 1295E,  24, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  26
WP, 96, 2013071900, 03, HWRF, 018,  64N, 1284E,  17, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  77
WP, 96, 2013071900, 03, HWRF, 024,  64N, 1268E,  10, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  59
WP, 96, 2013080812, 03, HWRF, 000, 121N, 1367E,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  99
WP, 96, 2013080812, 03, HWRF, 006, 124N, 1361E,  28, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  92
WP, 96, 2013080812, 03, HWRF, 012, 128N, 1354E,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  60
WP, 96, 2013080812, 03, HWRF, 018, 132N, 1348E,  31, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  81
WP, 96, 2013080812, 03, HWRF, 024, 138N, 1342E,  40, 1000, XX,  34, NEQ, 0094, 0037, 0000, 0037,    0,    0,  30
WP, 96, 2013080812, 03, HWRF, 030, 142N, 1331E,  45,  991, XX,  34, NEQ, 0085, 0039, 0020, 0060,    0,    0,  19
WP, 96, 2013080812, 03, HWRF, 036, 146N, 1322E,  54,  988, XX,  34, NEQ, 0083, 0058, 0032, 0088,    0,    0,  27
WP, 96, 2013080812, 03, HWRF, 036, 146N, 1322E,  54,  988, XX,  50, NEQ, 0031, 0000, 0000, 0000,    0,    0,  27
WP, 96, 2013080812, 03, HWRF, 042, 151N, 1310E,  73,  976, XX,  34, NEQ, 0094, 0074, 0042, 0064,    0,    0,  23
WP, 96, 2013080812, 03, HWRF, 042, 151N, 1310E,  73,  976, XX,  50, NEQ, 0046, 0029, 0017, 0038,    0,    0,  23
WP, 96, 2013080812, 03, HWRF, 042, 151N, 1310E,  73,  976, XX,  64, NEQ, 0032, 0000, 0000, 0026,    0,    0,  23
WP, 96, 2013080812, 03, HWRF, 048, 155N, 1298E,  80,  971, XX,  34, NEQ, 0101, 0062, 0060, 0096,    0,    0,  19
WP, 96, 2013080812, 03, HWRF, 048, 155N, 1298E,  80,  971, XX,  50, NEQ, 0035, 0034, 0029, 0033,    0,    0,  19
WP, 96, 2013080812, 03, HWRF, 048, 155N, 1298E,  80,  971, XX,  64, NEQ, 0025, 0025, 0020, 0024,    0,    0,  19
WP, 96, 2013080812, 03, HWRF, 054, 161N, 1286E,  92,  965, XX,  34, NEQ, 0097, 0090, 0081, 0085,    0,    0,  19
WP, 96, 2013080812, 03, HWRF, 054, 161N, 1286E,  92,  965, XX,  50, NEQ, 0053, 0053, 0029, 0038,    0,    0,  19
WP, 96, 2013080812, 03, HWRF, 054, 161N, 1286E,  92,  965, XX,  64, NEQ, 0036, 0021, 0020, 0029,    0,    0,  19
WP, 96, 2013080812, 03, HWRF, 060, 166N, 1274E,  79,  964, XX,  34, NEQ, 0122, 0115, 0091, 0100,    0,    0,  22
WP, 96, 2013080812, 03, HWRF, 060, 166N, 1274E,  79,  964, XX,  50, NEQ, 0051, 0051, 0043, 0049,    0,    0,  22
WP, 96, 2013080812, 03, HWRF, 060, 166N, 1274E,  79,  964, XX,  64, NEQ, 0034, 0032, 0022, 0029,    0,    0,  22
WP, 96, 2013080812, 03, HWRF, 066, 174N, 1260E,  99,  957, XX,  34, NEQ, 0129, 0110, 0093, 0110,    0,    0,  25
WP, 96, 2013080812, 03, HWRF, 066, 174N, 1260E,  99,  957, XX,  50, NEQ, 0068, 0063, 0052, 0056,    0,    0,  25
WP, 96, 2013080812, 03, HWRF, 066, 174N, 1260E,  99,  957, XX,  64, NEQ, 0048, 0042, 0039, 0042,    0,    0,  25
WP, 96, 2013080812, 03, HWRF, 072, 179N, 1245E, 102,  954, XX,  34, NEQ, 0127, 0110, 0080, 0107,    0,    0,  29
WP, 96, 2013080812, 03, HWRF, 072, 179N, 1245E, 102,  954, XX,  50, NEQ, 0073, 0067, 0058, 0066,    0,    0,  29
WP, 96, 2013080812, 03, HWRF, 072, 179N, 1245E, 102,  954, XX,  64, NEQ, 0051, 0046, 0049, 0047,    0,    0,  29
WP, 96, 2013080812, 03, HWRF, 078, 186N, 1230E, 118,  941, XX,  34, NEQ, 0131, 0117, 0085, 0111,    0,    0,  25
WP, 96, 2013080812, 03, HWRF, 078, 186N, 1230E, 118,  941, XX,  50, NEQ, 0074, 0068, 0058, 0069,    0,    0,  25
WP, 96, 2013080812, 03, HWRF, 078, 186N, 1230E, 118,  941, XX,  64, NEQ, 0054, 0054, 0044, 0052,    0,    0,  25
WP, 96, 2013080812, 03, HWRF, 084, 191N, 1215E, 113,  942, XX,  34, NEQ, 0121, 0106, 0092, 0120,    0,    0,  23
WP, 96, 2013080812, 03, HWRF, 084, 191N, 1215E, 113,  942, XX,  50, NEQ, 0073, 0070, 0058, 0070,    0,    0,  23
WP, 96, 2013080812, 03, HWRF, 084, 191N, 1215E, 113,  942, XX,  64, NEQ, 0058, 0051, 0046, 0056,    0,    0,  23
WP, 96, 2013080812, 03, HWRF, 090, 195N, 1200E, 112,  938, XX,  34, NEQ, 0122, 0108, 0095, 0115,    0,    0,  21
WP, 96, 2013080812, 03, HWRF, 090, 195N, 1200E, 112,  938, XX,  50, NEQ, 0073, 0056, 0060, 0079,    0,    0,  21
WP, 96, 2013080812, 03, HWRF, 090, 195N, 1200E, 112,  938, XX,  64, NEQ, 0058, 0045, 0045, 0062,    0,    0,  21
WP, 96, 2013080812, 03, HWRF, 096, 198N, 1188E, 101,  944, XX,  34, NEQ, 0204, 0082, 0090, 0120,    0,    0,  27
WP, 96, 2013080812, 03, HWRF, 096, 198N, 1188E, 101,  944, XX,  50, NEQ, 0063, 0057, 0063, 0064,    0,    0,  27
WP, 96, 2013080812, 03, HWRF, 096, 198N, 1188E, 101,  944, XX,  64, NEQ, 0048, 0045, 0048, 0048,    0,    0,  27
WP, 96, 2013080812, 03, HWRF, 102, 203N, 1177E,  93,  951, XX,  34, NEQ, 0138, 0104, 0093, 0104,    0,    0,  25
WP, 96, 2013080812, 03, HWRF, 102, 203N, 1177E,  93,  951, XX,  50, NEQ, 0059, 0061, 0071, 0073,    0,    0,  25
WP, 96, 2013080812, 03, HWRF, 102, 203N, 1177E,  93,  951, XX,  64, NEQ, 0046, 0046, 0042, 0039,    0,    0,  25
WP, 96, 2013080812, 03, HWRF, 108, 207N, 1169E,  92,  956, XX,  34, NEQ, 0119, 0095, 0098, 0131,    0,    0,  26
WP, 96, 2013080812, 03, HWRF, 108, 207N, 1169E,  92,  956, XX,  50, NEQ, 0067, 0066, 0067, 0057,    0,    0,  26
WP, 96, 2013080812, 03, HWRF, 108, 207N, 1169E,  92,  956, XX,  64, NEQ, 0052, 0051, 0054, 0043,    0,    0,  26
WP, 96, 2013080812, 03, HWRF, 114, 214N, 1157E,  85,  958, XX,  34, NEQ, 0108, 0104, 0094, 0089,    0,    0,  23
WP, 96, 2013080812, 03, HWRF, 114, 214N, 1157E,  85,  958, XX,  50, NEQ, 0065, 0066, 0061, 0068,    0,    0,  23
WP, 96, 2013080812, 03, HWRF, 114, 214N, 1157E,  85,  958, XX,  64, NEQ, 0043, 0049, 0045, 0046,    0,    0,  23
WP, 96, 2013080812, 03, HWRF, 120, 218N, 1150E,  88,  966, XX,  34, NEQ, 0108, 0084, 0102, 0100,    0,    0,  25
WP, 96, 2013080812, 03, HWRF, 120, 218N, 1150E,  88,  966, XX,  50, NEQ, 0058, 0058, 0058, 0050,    0,    0,  25
WP, 96, 2013080812, 03, HWRF, 120, 218N, 1150E,  88,  966, XX,  64, NEQ, 0043, 0045, 0037, 0028,    0,    0,  25
