AL, 97, 2014092912, 03, COTC, 000, 316N,  657W,  15, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 108
AL, 97, 2014092912, 03, COTC, 006, 321N,  658W,  17, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 107
AL, 97, 2014092912, 03, COTC, 012, 328N,  661W,  27, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 108
AL, 97, 2014092912, 03, COTC, 018, 335N,  665W,  25, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 095
AL, 97, 2014092912, 03, COTC, 024, 339N,  660W,  20, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 102
AL, 97, 2014092912, 03, COTC, 030, 346N,  657W,  24, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 106
AL, 97, 2014092912, 03, COTC, 036, 358N,  656W,  22, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 095
AL, 97, 2014092912, 03, COTC, 042, 379N,  661W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, ***
AL, 97, 2014092912, 03, COTC, 048, 391N,  645W,   0, 1008, XX,  34, NEQ, 0252, 0000, 0000, 0000,    0,    0, ***
AL, 97, 2014092912, 03, COTC, 054, 398N,  624W,   0, 1007, XX,  34, NEQ, 0235, 0000, 0000, 0000,    0,    0, ***
AL, 97, 2014092912, 03, COTC, 060, 404N,  612W,  35, 1007, XX,  34, NEQ, 0018, 0000, 0000, 0000,    0,    0, 018
AL, 97, 2014092912, 03, COTC, 066, 409N,  605W,  33, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 048
AL, 97, 2014092912, 03, COTC, 072, 415N,  597W,  36, 1008, XX,  34, NEQ, 0153, 0000, 0000, 0000,    0,    0, 100
AL, 97, 2014092912, 03, COTC, 078, 416N,  599W,  37, 1009, XX,  34, NEQ, 0159, 0000, 0000, 0000,    0,    0, 107
AL, 97, 2014092912, 03, COTC, 084, 416N,  613W,  34, 1009, XX,  34, NEQ, 0196, 0000, 0198, 0000,    0,    0, 094
AL, 97, 2014092912, 03, GFDN,   0, 324N,  655W,  28, 1009
AL, 97, 2014092912, 03, GFDN,   6, 324N,  656W,  27, 1008
AL, 97, 2014092912, 03, GFDN,  12, 327N,  661W,  25, 1007
AL, 97, 2014092912, 03, GFDN,  18, 331N,  661W,  26, 1007
AL, 97, 2014092912, 03, GFDN,  24, 336N,  660W,  27, 1006
AL, 97, 2014092912, 03, GFDN,  30, 346N,  656W,  27, 1007
AL, 97, 2014092912, 03, GFDN,  36, 356N,  650W,  25, 1007
AL, 97, 2014092912, 03, GFDN,  42, 366N,  642W,  26, 1006
AL, 97, 2014092912, 03, GFDN,  48, 380N,  625W,  32, 1005
AL, 97, 2014092912, 03, GFDN,  54, 393N,  610W,  35, 1003
AL, 97, 2014092912, 03, GFDN,  60, 401N,  599W,  40, 1002
AL, 97, 2014092912, 03, GFDN,  66, 404N,  589W,  46, 1002
AL, 97, 2014092912, 03, GFDN,  72, 408N,  579W,  43, 1001
AL, 97, 2014092912, 03, GFDN,  78, 410N,  574W,  40, 1001
AL, 97, 2014092912, 03, GFDN,  84, 411N,  571W,  42, 1002
AL, 97, 2014092912, 03, GFDN,  90, 416N,  576W,  42, 1002
AL, 97, 2014092912, 03, GFDN,  96, 420N,  589W,  40, 1000
AL, 97, 2014092912, 03, GFDN, 102, 421N,  604W,  36,  999
AL, 97, 2014092912, 03, GFDN, 108, 416N,  607W,  35,  997
AL, 97, 2014092912, 03, GFDN, 114, 415N,  602W,  34,  995
AL, 97, 2014092912, 03, GFDN, 120, 423N,  587W,  32,  995
AL, 97, 2014092912, 03, GFDN, 126, 435N,  576W,  30,  994
AL, 97, 2014092912, 03, NG01, 000, 306N,  646W,  23, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG01, 006, 309N,  646W,  24, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG01, 012, 314N,  644W,  25, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG01, 018, 321N,  640W,  27, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG01, 024, 331N,  634W,  27, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG01, 030, 340N,  629W,  25, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG01, 036, 350N,  623W,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG01, 042, 361N,  614W,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG01, 048, 371N,  602W,  23, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG01, 054, 381N,  589W,  25, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG01, 060, 388N,  574W,  34, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0237
AL, 97, 2014092912, 03, NG01, 066, 391N,  567W,  35, 1009, XX,  34, NEQ, 0222, 0000, 0000, 0375
AL, 97, 2014092912, 03, NG01, 072, 396N,  569W,  42, 1009, XX,  34, NEQ, 0283, 0000, 0000, 0320
AL, 97, 2014092912, 03, NG01, 078, 399N,  565W,  42, 1009, XX,  34, NEQ, 0112, 0000, 0000, 0295
AL, 97, 2014092912, 03, NG01, 084, 392N,  569W,  38, 1009, XX,  34, NEQ, 0252, 0000, 0000, 0242
AL, 97, 2014092912, 03, NG02, 000, 314N,  657W,  16, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG02, 006, 315N,  659W,  16, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG02, 012, 319N,  663W,  18, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG02, 018, 329N,  667W,  19, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG02, 024, 340N,  670W,  19, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG02, 030, 350N,  669W,  17, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG02, 036, 362N,  670W,  13, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG02, 042, 374N,  662W,  16, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG02, 048, 389N,  650W,  23, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG02, 054, 399N,  643W,  27, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG02, 060, 403N,  646W,  28, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG02, 066, 404N,  654W,  29, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG02, 072, 402N,  674W,  30, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG02, 078, 408N,  672W,  31, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG02, 084, 410N,  667W,  30, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG03, 000, 313N,  636W,  18, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 97, 2014092912, 03, NG03, 006, 312N,  635W,  16, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
