CP, 92, 2005080318, 01, CARQ, -24, 143N, 1359W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
CP, 92, 2005080318, 01, CARQ, -18, 144N, 1374W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
CP, 92, 2005080318, 01, CARQ, -12, 145N, 1385W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 279,  10, 
CP, 92, 2005080318, 01, CARQ,  -6, 147N, 1395W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
CP, 92, 2005080318, 01, CARQ,   0, 150N, 1405W,  25, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1010,   50,  25,   0,   0,   C,   0,   X, 280,  10,     INVEST, D, 
CP, 92, 2005080318, 01, CARQ,   0, 150N, 1405W,  25, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1010,   50,  25,   0,   0,   C,   0,   X, 280,  10,     INVEST, D, 
CP, 92, 2005080318, 01, CARQ,   0, 150N, 1405W,  25, 1008, DB,  64, NEQ,    0,    0,    0,    0, 1010,   50,  25,   0,   0,   C,   0,   X, 280,  10,     INVEST, D, 
CP, 92, 2005080318, 03, BAMD,  12, 153N, 1423W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMD,  24, 154N, 1438W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMD,  36, 155N, 1450W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMD,  48, 158N, 1458W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMD,  60, 165N, 1463W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMD,  72, 176N, 1462W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMD,  84, 196N, 1455W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMD,  96, 218N, 1443W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMD, 108, 241N, 1422W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMD, 120, 262N, 1394W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMM,  12, 153N, 1426W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMM,  24, 156N, 1444W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMM,  36, 158N, 1460W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMM,  48, 160N, 1473W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMM,  60, 165N, 1484W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMM,  72, 171N, 1494W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMM,  84, 177N, 1498W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMM,  96, 180N, 1504W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMM, 108, 183N, 1510W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMM, 120, 184N, 1519W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMS,  12, 153N, 1425W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMS,  24, 155N, 1443W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMS,  36, 156N, 1459W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMS,  48, 158N, 1477W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMS,  60, 161N, 1495W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMS,  72, 165N, 1513W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMS,  84, 171N, 1529W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMS,  96, 176N, 1544W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMS, 108, 182N, 1559W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, BAMS, 120, 186N, 1577W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, CLIP,  12, 153N, 1424W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, CLIP,  24, 155N, 1443W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, CLIP,  36, 158N, 1459W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, CLIP,  48, 162N, 1472W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, CLIP,  60, 163N, 1491W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, CLIP,  72, 163N, 1510W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, CLP5,  12, 154N, 1425W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, CLP5,  24, 157N, 1445W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, CLP5,  36, 161N, 1464W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, CLP5,  48, 164N, 1484W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 92, 2005080318, 03, CLP5,  60, 168N, 1502W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
