EP, 91, 2018102118, 01, CARQ, -24, 105N, 1183W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 91, 2018102118, 01, CARQ, -18, 106N, 1180W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 91, 2018102118, 01, CARQ, -12, 107N, 1178W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,  68,   3,     INVEST,  , 
EP, 91, 2018102118, 01, CARQ,  -6, 108N, 1175W,  25,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 91, 2018102118, 01, CARQ,   0, 109N, 1173W,  25, 1008, LO,  34, NEQ,    0,    0,    0,    0, 1010,  120,  20,   0,   0,   E,   0,   X,  65,   3,     INVEST, S, 
EP, 91, 2018102118, 01, CARQ,   0, 109N, 1173W,  25, 1008, LO,  50, NEQ,    0,    0,    0,    0, 1010,  120,  20,   0,   0,   E,   0,   X,  65,   3,     INVEST, S, 
EP, 91, 2018102118, 01, CARQ,   0, 109N, 1173W,  25, 1008, LO,  64, NEQ,    0,    0,    0,    0, 1010,  120,  20,   0,   0,   E,   0,   X,  65,   3,     INVEST, S, 
EP, 91, 2018102118, 03, AC00,   0, 110N, 1174W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AC00,   6, 111N, 1175W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AC00,  12, 112N, 1177W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AC00,  18, 114N, 1179W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AC00,  24, 115N, 1180W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AC00,  30, 115N, 1181W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AC00,  36, 116N, 1184W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AC00,  42, 117N, 1184W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AC00,  48, 117N, 1185W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AC00,  54, 121N, 1183W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AC00,  60, 122N, 1179W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AC00,  66, 122N, 1180W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AC00,  72, 120N, 1181W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AC00,  78, 120N, 1183W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AC00,  84, 118N, 1186W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AC00,  90, 116N, 1188W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
